ly-02-15	마지막에는 배우기만 하거나 생각만 할 때 각각 무엇이 부족한지 짚습니다.	마지막에는 배우기만 하거나 생각만 할 때 생기는 문제를 각각 살펴봅니다.	까닭·부족점을 ‘짚다’로 처리한 상투적 해설 동사 제거
ly-05-01	주석은 억울하게 옥살이를 했다는 사정뿐 아니라 평소의 행실까지 살펴, 공자님이 그를 사위로 삼으신 까닭을 짚습니다.	주석은 억울하게 옥살이를 했다는 사정뿐 아니라 평소의 행실까지 살펴, 공자님이 그를 사위로 삼으신 까닭을 설명합니다.	까닭에는 직접적인 설명 동사가 자연스러움
ly-05-04	말수가 적은 모습과 막힘없이 응수하는 모습을 비교하며, 공자님이 말재주를 경계하신 까닭을 짚습니다.	말수가 적은 모습과 막힘없이 응수하는 모습을 비교하며, 공자님이 왜 말재주를 경계하셨는지 살펴봅니다.	‘까닭을 짚다’를 직접 의문형 서술로 전환
ly-05-18	이어 공자님이 그의 충성은 인정하면서도 어질다고 단정하지 않으신 까닭을 짚습니다.	이어 공자님이 그의 충성은 인정하면서도 어질다고 단정하지 않으신 이유를 살펴봅니다.	‘까닭을 짚다’ 상투 표현 제거
ly-07-08	주석은 받아들일 준비가 되었을 때 가르치는 것과 너무 일찍 답을 주는 것이 어떻게 다른지 짚습니다.	주석은 받아들일 준비가 되었을 때 가르치는 것과 너무 일찍 답을 주는 것이 어떻게 다른지 비교합니다.	차이를 다루는 문맥이므로 ‘비교합니다’가 정확함
ly-07-20	이 주석은 괴이한 일과 힘자랑, 난리, 귀신을 말하지 않으신 이유를 짚습니다.	이 주석은 괴이한 일과 힘자랑, 난리, 귀신을 말하지 않으신 이유를 설명합니다.	이유를 ‘짚다’ 대신 직접 설명
ly-08-04	주석가는 이를 제기를 다루는 실무와 구별하며, 맹경자가 무엇을 중요하게 여겼어야 했는지 짚습니다.	주석가는 이를 제기를 다루는 실무와 구별하며, 맹경자가 무엇을 중요하게 여겼어야 했는지 살펴봅니다.	판단 대상을 ‘짚다’보다 ‘살펴보다’가 자연스러움
ly-08-16	첸무는 솔직함·성실함·믿음직함까지 잃은 경우를 하나씩 들어 이 구절의 뜻을 짚습니다.	첸무는 솔직함·성실함·믿음직함까지 잃은 경우를 하나씩 들어 이 구절을 어떻게 읽어야 하는지 설명합니다.	‘뜻을 짚다’ 대신 실제 해석 행위를 명시
ly-09-15	리링은 당시 교류가 남성 중심이었다고 설명하며, 집 안팎에서 섬길 사람을 언급한 구절의 뜻을 짚습니다.	리링은 당시 교류가 남성 중심이었다고 설명하며, 집 안팎에서 섬길 사람을 언급한 구절을 어떻게 읽는지 설명합니다.	‘뜻을 짚다’ 대신 해석 내용을 직접 서술
ly-11-12	주석가는 그 힘을 어떻게 쓰는지 살펴, 공자님이 강함을 칭찬하면서도 걱정하신 까닭을 짚습니다.	주석가는 그 힘을 어떻게 쓰는지 살펴, 공자님이 강함을 칭찬하면서도 걱정하신 이유를 설명합니다.	까닭에는 설명 동사가 더 자연스러움
ly-11-16	첸무는 『맹자』의 기록과 당시 노나라 정치를 함께 들어 이 충돌의 배경을 짚습니다.	첸무는 『맹자』의 기록과 당시 노나라 정치를 함께 들어 이 충돌이 벌어진 배경을 살펴봅니다.	‘배경을 짚다’ 해설투를 직접 서술로 전환
ly-12-02	정약용은 길 가는 사람을 만나거나 백성에게 일을 맡길 때 어떤 태도를 가져야 하는지 말하며 비유의 뜻을 짚습니다.	정약용은 길 가는 사람을 만나거나 백성에게 일을 맡길 때 어떤 태도를 가져야 하는지 말하며 비유가 무엇을 뜻하는지 설명합니다.	‘뜻을 짚다’ 대신 의미를 직접 설명
ly-14-03	이어 당시에는 여행이 얼마나 어려웠는지, 공자님이 실제로 어느 지역을 다니셨다고 보는지 짚습니다.	이어 당시 여행의 어려움과 공자님이 실제로 다니셨다고 보는 지역을 살펴봅니다.	두 대상을 ‘짚다’로 묶은 해설투를 정리
ly-14-11	정약용은 두 일의 어려움을 비교한 이 말이 특히 누구에게 경고하는 것인지 짚습니다.	정약용은 두 일의 어려움을 비교한 이 말이 특히 누구를 향한 경고인지 살펴봅니다.	‘누구에게 경고하는지 짚다’의 상투성 제거
