ly-03-02	첸무는 지위가 낮았던 공자님이 잘못을 대놓고 지적하기 어려워 질문으로 일깨우셨다고 풀이합니다.	첸무는 지위가 낮았던 공자님이 잘못을 대놓고 지적하기 어려워 질문으로 일깨우셨다고 봅니다.	해석을 직접 제시
ly-03-10	예가 무너졌다는 말이 제사 절차뿐 아니라 나라를 다스리는 일에도 해당한다고 풀이합니다.	예가 무너졌다는 말이 제사 절차뿐 아니라 나라를 다스리는 일에도 해당한다고 봅니다.	해석을 직접 제시
ly-03-15	『논어고의』는 ‘이것이 예다’라는 답이, 모르는 것을 솔직히 묻는 태도를 가리킨다고 풀이합니다.	『논어고의』는 ‘이것이 예다’라는 답이, 모르는 것을 솔직히 묻는 태도를 가리킨다고 봅니다.	해석을 직접 제시
ly-04-06	『논어집주대전』은 나쁜 일을 멀리하는 태도를 살피고, 뜻을 세우는 일과 힘을 쓰는 일이 어떻게 관련되는지 풀이합니다.	『논어집주대전』은 나쁜 일을 멀리하는 태도를 살피고, 뜻을 세우는 일과 힘을 쓰는 일이 어떻게 관련되는지도 살핍니다.	풀이 메타동사 축소
ly-04-16	육상산은 평소에 무엇을 익히고 어디에 뜻을 두었는지를 돌아보며 군자와 소인이 어떻게 다른지 풀이합니다.	육상산은 평소에 무엇을 익히고 어디에 뜻을 두었는지를 돌아보며 군자와 소인이 어떻게 다른지 살핍니다.	풀이 메타동사 축소
ly-04-21	첸무는 부모님의 나이에 따라 기쁨과 두려움을 따로 느낀다는 뜻이 아니라, 자녀에게 두 감정이 함께 일어난다는 뜻으로 풀이합니다.	첸무는 부모님의 나이에 따라 기쁨과 두려움을 따로 느낀다는 뜻이 아니라, 자녀에게 두 감정이 함께 일어난다는 뜻으로 봅니다.	해석을 직접 제시
ly-05-04	말수가 적은 모습과 막힘없이 응수하는 모습을 비교하며, 공자님이 말재주를 경계하신 까닭을 풀이합니다.	말수가 적은 모습과 막힘없이 응수하는 모습을 비교하며, 공자님이 말재주를 경계하신 까닭을 짚습니다.	의미에 맞는 동사로 구체화
ly-05-13	옛 주석들은 이를 배움을 싫어해서가 아니라, 들은 것을 빠짐없이 행하려는 태도로 풀이합니다.	옛 주석들은 이를 배움을 싫어해서가 아니라, 들은 것을 빠짐없이 행하려는 태도로 봅니다.	해석을 직접 제시
ly-05-18	이어 공자님이 그의 충성은 인정하면서도 어질다고 단정하지 않으신 까닭을 풀이합니다.	이어 공자님이 그의 충성은 인정하면서도 어질다고 단정하지 않으신 까닭을 짚습니다.	의미에 맞는 동사로 구체화
ly-05-19	다른 쪽은 두 번도 제대로 생각하지 않았다고 풍자한 말로 풀이합니다.	다른 쪽은 두 번도 제대로 생각하지 않았다고 풍자한 말로 봅니다.	앞 문장과 호응
ly-06-07	주석은 사자에게 부드럽게 부탁한 말과, 다시 부르면 국경을 넘겠다는 단호한 말을 구별해 풉니다.	주석은 사자에게 부드럽게 부탁한 말과, 다시 부르면 국경을 넘겠다는 단호한 말을 구별합니다.	불필요한 풀이 동사 제거
ly-06-09	정이와 주희는 가난 자체를 좋아한 것인지, 가난해도 좋아하던 일을 바꾸지 않은 것인지 구별해 풀이합니다.	정이와 주희는 가난 자체를 좋아한 것인지, 가난해도 좋아하던 일을 바꾸지 않은 것인지 구별합니다.	불필요한 풀이 동사 제거
ly-06-20	주희는 알 수 없는 일을 좇기보다 사람이 해야 할 일에 힘쓰는 것이 지혜라고 풀이합니다.	주희는 알 수 없는 일을 좇기보다 사람이 해야 할 일에 힘쓰는 것을 지혜라고 봅니다.	해석을 직접 제시
ly-06-21	지혜로운 사람과 어진 사람이 어떻게 다른지 세 항목으로 나누어 풀이합니다.	지혜로운 사람과 어진 사람이 어떻게 다른지 세 항목으로 나누어 살핍니다.	풀이 메타동사 축소
ly-06-27	이미 갖춘 덕을 가리킬 때와, 무엇을 알고 어떻게 행해야 할지 말할 때 표현이 달라진다고 풀이합니다.	이미 갖춘 덕을 가리킬 때와, 무엇을 알고 어떻게 행해야 할지 말할 때 표현이 달라진다고 봅니다.	해석을 직접 제시
ly-07-03	주희는 배우고 익히며 덕을 닦고 잘못을 고치는 일이 서로 어떤 점에서 겹치고 다른지 풀이합니다.	주희는 배우고 익히며 덕을 닦고 잘못을 고치는 일이 서로 어떤 점에서 겹치고 다른지 살핍니다.	풀이 메타동사 축소
ly-07-14	유보남은 자공이 위나라에서 왕위를 다투던 부자를 염두에 두고 물었다고 보며, 두 사건이 어떤 관계인지 풀이합니다.	유보남은 자공이 위나라에서 왕위를 다투던 부자를 염두에 두고 물었다고 보며, 두 사건이 어떤 관계인지 살핍니다.	풀이 메타동사 축소
ly-07-19	공자님이 태어날 때부터 아신 것은 아니라고 하신 말씀을, 역사와 경험에서 배우셨다는 뜻으로 풀이합니다.	공자님이 태어날 때부터 아신 것은 아니라고 하신 말씀을, 역사와 경험에서 배우셨다는 뜻으로 봅니다.	해석을 직접 제시
ly-07-20	괴이한 일과 힘자랑, 난리, 귀신을 말하지 않으신 이유를 풀이합니다.	괴이한 일과 힘자랑, 난리, 귀신을 말하지 않으신 이유를 짚습니다.	의미에 맞는 동사로 구체화
ly-07-21	여기 실린 주석은 사람을 통틀어 좋거나 나쁘다고 판단하기보다 각자가 한 일을 살피라고 풉니다.	여기 실린 주석은 사람을 통틀어 좋거나 나쁘다고 판단하기보다 각자가 한 일을 살피라는 뜻으로 읽습니다.	해석을 직접 제시
ly-07-24	주희는 이 차이를 예로 들어 문·행·충·신의 네 가르침이 어떻게 이어지는지 풉니다.	주희는 이 차이를 예로 들어 문·행·충·신의 네 가르침이 어떻게 이어지는지 살핍니다.	풀이 메타동사 축소
ly-07-28	이 주석은 고을에 대한 평판과 스승을 찾아온 아이의 현재 태도를 구별해 풀이합니다.	이 주석은 고을에 대한 평판과 스승을 찾아온 아이의 현재 태도를 구별합니다.	불필요한 풀이 동사 제거
ly-07-33	유보남은 공서화의 반응과 『맹자』 속 자공의 말을 견주어 풀이합니다.	유보남은 공서화의 반응과 『맹자』 속 자공의 말을 견주어 해석합니다.	의미에 맞는 동사로 구체화
ly-07-34	공자님의 ‘기도한 지 오래되었다’는 말을 평소의 행실로 풀이합니다.	공자님의 ‘기도한 지 오래되었다’는 말은 평소의 행실을 가리킨다고 봅니다.	해석을 직접 제시
ly-08-16	첸무는 솔직함·성실함·믿음직함까지 잃은 경우를 하나씩 들어 이 구절을 풀이합니다.	첸무는 솔직함·성실함·믿음직함까지 잃은 경우를 하나씩 들어 이 구절의 뜻을 짚습니다.	의미에 맞는 동사로 구체화
ly-09-04	공자님께 없었다는 네 가지 마음을 첸무가 풀이합니다.	공자님께 없었다는 네 가지 마음을 첸무가 하나씩 살핍니다.	풀이 메타동사 축소
ly-09-08	이어 정약용은 옛 궁중에 놓인 보물을 기록한 글을 근거로 하도를 달리 풀이합니다.	이어 정약용은 옛 궁중에 놓인 보물을 기록한 글을 근거로 하도를 달리 해석합니다.	의미에 맞는 동사로 구체화
ly-09-10	유보남이 인용한 『논형』은 오래 배운 사람일수록 스승의 가르침이 얼마나 깊은지 느낀다는 뜻으로 이 말을 풀이합니다.	유보남이 인용한 『논형』은 오래 배운 사람일수록 스승의 가르침이 얼마나 깊은지 느낀다는 뜻으로 이 말을 읽습니다.	해석을 직접 제시
